fecha_hecho;cantidad;latitud;longitud;sexo;edad;estado_civil;medio_transporte;conducta;modalidad;conducta_especial;arma_medio;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;color;fecha_ingestion
10/03/2017 7:40;10;626005249;-755625644;Hombre;24;Soltero(a);Caminata;Hurto a persona;Cosquilleo;De celular;No;Prado;#1001;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
10/03/2017 9:00;10;625265103;-7556852666;Mujer;25;Unión marital de hecho;Autobus;Hurto a persona;Raponazo;De celular;No;La Candelaria;#1019;10;Bus de servicio público;Candelaria;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 8:30;10;62736269;-7558216716;Mujer;52;Casado(a);Autobus;Hurto a persona;Cosquilleo;De celular;No;La Pilarica;#0706;7;Bus de servicio público;Castilla;Cédula;Documentos;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 17:00;10;624005015;-755513796;Mujer;32;Unión marital de hecho;Caminata;Hurto a persona;Descuido;De celular;No;Miraflores;#0908;9;Vía pública;Buenos Aires;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
10/03/2017 15:15;10;622695304;-7560400989;Mujer;33;Unión marital de hecho;Automóvil;Hurto a persona;Atraco;No;Arma de fuego;La Palma;#1614;16;Vía pública;Belén;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 13:00;10;628593013;-755643132;Mujer;32;Unión marital de hecho;Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;Palermo;#0403;4;Vía pública;Aranjuez;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 6:30;10;624874518;-7557620692;Hombre;54;Casado(a);Caminata;Hurto a persona;Descuido;No;No;Corazón de Jesús;#1008;10;Vehículo particular;Candelaria;Soat;Documentos;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 10:00;10;62911211;-755916187;Hombre;36;Unión marital de hecho;Caminata;Hurto a persona;Atraco;No;Arma de fuego;Aures No.2;#0712;7;Vía pública;Castilla;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 10:00;10;62911211;-755916187;Hombre;36;Unión marital de hecho;Caminata;Hurto a persona;Atraco;No;Arma de fuego;Aures No.2;#0712;7;Vía pública;Castilla;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 17:00;10;630046542;-7555881296;Mujer;54;Casado(a);Metro;Hurto a persona;Cosquilleo;No;No;Héctor Abad Gómez;#0507;5;Estación del Metro;Castilla;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 23:30;10;624919727;-7558883612;Mujer;34;Soltero(a);Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;Bolivariana;#1107;11;Vía pública;Laureles;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
10/03/2017 18:10;10;627735587;-7557032895;Mujer;35;Unión marital de hecho;Caminata;Hurto a persona;Atraco;Sin dato;Arma de fuego;Terminal de Transporte;#Inst_4;5;Vía pública;Castilla;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 11:30;10;628711387;-7555685129;Hombre;43;Unión marital de hecho;Caminata;Hurto a persona;Descuido;No;No;Berlin;#0401;4;Hotel, motel y hostal;Aranjuez;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 7:05;10;627479912;-7557893339;Mujer;58;Divorciado(a);Caminata;Hurto a persona;Raponazo;De celular;No;Bosques de San Pablo;#0707;7;Vía pública;Castilla;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 19:30;10;630536752;-7555935934;Hombre;24;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;Toscana;#0501;5;Vía pública;Castilla;Carne;Alimento;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 7:05;10;627479912;-7557893339;Mujer;58;Divorciado(a);Caminata;Hurto a persona;Raponazo;De celular;No;Bosques de San Pablo;#0707;7;Vía pública;Castilla;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 19:30;10;630536752;-7555935934;Hombre;24;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;Toscana;#0501;5;Vía pública;Castilla;Electrodoméstico video y audio y accesorios;Electrodomésticos;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 8:30;10;62736269;-7558216716;Mujer;52;Casado(a);Autobus;Hurto a persona;Cosquilleo;De celular;No;La Pilarica;#0706;7;Bus de servicio público;Castilla;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
10/03/2017 0:00;10;627445335;-7557057884;Mujer;33;Soltero(a);Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;Caribe;#0517;5;Vía pública;Castilla;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
